2019-07-12 19:09:00 INFO  Log:21 - Launched Chrome Browser
2019-07-12 19:09:05 INFO  Log:31 - TC_001_updatingGeneralInformation test case started
2019-07-12 19:09:05 INFO  Log:31 - The URL of Orange HRM is loaded
2019-07-12 19:09:09 INFO  Log:31 - Login Page of Orange HRM is displayed
2019-07-12 19:09:09 INFO  Log:31 - username:Admin
2019-07-12 19:09:09 INFO  Log:31 - username:admin123
2019-07-12 19:09:11 INFO  Log:31 - Credentials Submitted
2019-07-12 19:09:11 INFO  Log:31 - Home Page of Orange HRM is displayed
2019-07-12 19:09:11 INFO  Log:31 - Admin is found
2019-07-12 19:09:11 INFO  Log:31 - Organization is found
2019-07-12 19:09:11 INFO  Log:31 - General Information is clicked
2019-07-12 19:09:13 INFO  Log:31 - General Information Page of Admin module of Orange HRM is displayed
2019-07-12 19:09:13 INFO  Log:31 - Edit button is clicked
2019-07-12 19:09:13 INFO  Log:31 - Registration Number is updated with 147895632
2019-07-12 19:09:13 INFO  Log:31 - Save button is clicked
2019-07-12 19:09:15 INFO  Log:31 - Information Updated Successfully
2019-07-12 19:09:15 INFO  Log:31 - The name of the testcase passed is :TC_001_updatingGeneralInformation
2019-07-12 19:09:15 INFO  Log:26 - Closed the Browser
